1.877,40,0.016784
1.877,50,0.0476477
1.877,80,0.108794
1.877,100,0.118588
1.877,120,0.11784
1.877,140,0.112441
1.877,160,0.105248
1.877,180,0.0976717
1.877,200,0.0903667
1.877,220,0.083633
1.877,240,0.0775805
1.877,260,0.072199
1.877,280,0.0674438
1.877,300,0.0632361
1.877,400,0.0483201
1.877,500,0.0394492
1.877,600,0.033619
1.877,700,0.0294942
1.877,800,0.0264116
1.877,900,0.023986
1.877,1000,0.0220338
1.877,1100,0.0203974
1.877,1200,0.0190115
1.877,1300,0.0178075
1.877,1400,0.0167517
1.877,1500,0.0158145
1.877,1600,0.0149846
1.877,1700,0.0142209
1.877,1800,0.0135355
1.877,1900,0.0129065
1.877,2000,0.0123324
1.877,2100,0.0117985
1.877,2200,0.0113073
1.877,2300,0.0108548
1.877,2400,0.0104343
1.877,2500,0.0100427
3,40,0.012673
3,50,0.0335609
3,80,0.0714302
3,100,0.076868
3,120,0.076009
3,140,0.0724445
3,160,0.0678502
3,180,0.0630424
3,200,0.0584032
3,220,0.0541167
3,240,0.050249
3,260,0.0468048
3,280,0.0437544
3,300,0.041051
3,400,0.0314291
3,500,0.0256847
3,600,0.0219067
3,700,0.0192321
3,800,0.0172351
3,900,0.0156621
3,1000,0.0143938
3,1100,0.013329
3,1200,0.0124261
3,1300,0.0116451
3,1400,0.0109568
3,1500,0.0103464
3,1600,0.00980571
3,1700,0.0093075
3,1800,0.00886146
3,1900,0.00845219
3,2000,0.00807723
3,2100,0.0077293
3,2200,0.00740899
3,2300,0.00711446
3,2400,0.0068396
3,2500,0.00658414
6,40,0.00572944
6,50,0.0141529
6,80,0.0285219
6,100,0.0306418
6,120,0.0304686
6,140,0.0292843
6,160,0.02766
6,180,0.0258979
6,200,0.0241403
6,220,0.0224823
6,240,0.020965
6,260,0.019596
6,280,0.0183693
6,300,0.0172728
6,400,0.0133251
6,500,0.0109366
6,600,0.00935748
6,700,0.00823339
6,800,0.00739314
6,900,0.00673053
6,1000,0.00619382
6,1100,0.00574181
6,1200,0.00535846
6,1300,0.00502783
6,1400,0.00473564
6,1500,0.00447659
6,1600,0.00424753
6,1700,0.00403578
6,1800,0.00384359
6,1900,0.0036695
6,2000,0.0035087
6,2100,0.00335787
6,2200,0.00321912
6,2300,0.00309294
6,2400,0.00297401
6,2500,0.00286395
9,40,0.00303371
9,50,0.00735317
9,80,0.0146845
9,100,0.0158547
9,120,0.0158805
9,140,0.0153811
9,160,0.0146278
9,180,0.0137776
9,200,0.0129018
9,220,0.0120612
9,240,0.0112802
9,260,0.0105688
9,280,0.00992852
9,300,0.00935277
9,400,0.00725364
9,500,0.00597283
9,600,0.00512273
9,700,0.00451641
9,800,0.00406054
9,900,0.0037022
9,1000,0.00341019
9,1100,0.00316478
9,1200,0.00295517
9,1300,0.00277509
9,1400,0.00261473
9,1500,0.00247359
9,1600,0.00234799
9,1700,0.00223236
9,1800,0.00212746
9,1900,0.00203128
9,2000,0.00194318
9,2100,0.00186062
9,2200,0.0017846
9,2300,0.00171524
9,2400,0.0016508
9,2500,0.00158963
12,40,0.00183981
12,50,0.0044288
12,80,0.00883431
12,100,0.00958047
12,120,0.00964745
12,140,0.00939269
12,160,0.00897633
12,180,0.00848952
12,200,0.00797581
12,220,0.00747619
12,240,0.00700735
12,260,0.00657681
12,280,0.00618614
12,300,0.00583545
12,400,0.00454289
12,500,0.00374947
12,600,0.00322072
12,700,0.00284348
12,800,0.0025592
12,900,0.00233411
12,1000,0.00215109
12,1100,0.00199653
12,1200,0.00186505
12,1300,0.00175218
12,1400,0.00165263
12,1500,0.00156461
12,1600,0.00148551
12,1700,0.00141329
12,1800,0.0013462
12,1900,0.0012862
12,2000,0.0012303
12,2100,0.0011785
12,2200,0.0011313
12,2300,0.00108773
12,2400,0.00104628
12,2500,0.00100787
14,40,0.00139207
14,50,0.0033437
14,80,0.00667135
14,100,0.00724927
14,120,0.00732053
14,140,0.00714632
14,160,0.00684409
14,180,0.00648725
14,200,0.00610521
14,220,0.00573024
14,240,0.00537604
14,260,0.00504986
14,280,0.00475384
14,300,0.00448612
14,400,0.00349804
14,500,0.00289111
14,600,0.00248591
14,700,0.0021949
14,800,0.00197665
14,900,0.00180328
14,1000,0.00166368
14,1100,0.00154504
14,1200,0.0014437
14,1300,0.00135671
14,1400,0.00127928
14,1500,0.00121137
14,1600,0.00114997
14,1700,0.00109494
14,1800,0.00104291
14,1900,0.000996877
14,2000,0.000953831
14,2100,0.000913581
14,2200,0.000876983
14,2300,0.000843153
14,2400,0.000810824
14,2500,0.000780843
18,40,0.000874266
18,50,0.00209311
18,80,0.00417815
18,100,0.00455483
18,120,0.00461737
18,140,0.00452567
18,160,0.00435098
18,180,0.00413668
18,200,0.0039021
18,220,0.00366993
18,240,0.00344759
18,260,0.00324223
18,280,0.00305534
18,300,0.00288652
18,400,0.00225771
18,500,0.00186994
18,600,0.00160778
18,700,0.00142118
18,800,0.00128037
18,900,0.00116864
18,1000,0.00107858
18,1100,0.00100245
18,1200,0.000937121
18,1300,0.000880511
18,1400,0.000830897
18,1500,0.000787256
18,1600,0.00074804
18,1700,0.00071181
18,1800,0.00067839
18,1900,0.00064865
18,2000,0.000620361
18,2100,0.000594887
18,2200,0.000571373
18,2300,0.000549868
18,2400,0.000528321
18,2500,0.000508799
21,40,0.000653346
21,50,0.00156222
21,80,0.00312075
21,100,0.00340832
21,120,0.00346222
21,140,0.00340092
21,160,0.00327642
21,180,0.00311943
21,200,0.00294614
21,220,0.00277355
21,240,0.00260826
21,260,0.00245491
21,280,0.00231551
21,300,0.00218771
21,400,0.00171288
21,500,0.0014195
21,600,0.00122144
21,700,0.00108044
21,800,0.000973849
21,900,0.00088844
21,1000,0.000820591
21,1100,0.000762937
21,1200,0.000713087
21,1300,0.000670265
21,1400,0.000632503
21,1500,0.000599779
21,1600,0.000570381
21,1700,0.000542531
21,1800,0.000517084
21,1900,0.000494351
21,2000,0.00047317
21,2100,0.000453735
21,2200,0.000436267
21,2300,0.00041948
21,2400,0.000402917
21,2500,0.000388153
23,40,0.000549563
23,50,0.00131302
23,80,0.00262412
23,100,0.0028681
23,120,0.00291636
23,140,0.00286817
23,160,0.00276548
23,180,0.00263573
23,200,0.00249147
23,220,0.00234742
23,240,0.00220832
23,260,0.00207912
23,280,0.00196071
23,300,0.00185339
23,400,0.00145319
23,500,0.00120444
23,600,0.00103652
23,700,0.000917619
23,800,0.000827719
23,900,0.000755214
23,1000,0.000697758
23,1100,0.000648271
23,1200,0.000606129
23,1300,0.00056985
23,1400,0.000537845
23,1500,0.000509952
23,1600,0.000484726
23,1700,0.000461257
23,1800,0.000439875
23,1900,0.000420193
23,2000,0.000402606
23,2100,0.000385751
23,2200,0.000370945
23,2300,0.00035643
23,2400,0.000342796
23,2500,0.000330075
25.677,40,0.000445579
25.677,50,0.00106378
25.677,80,0.00212619
25.677,100,0.00232634
25.677,120,0.0023687
25.677,140,0.00233233
25.677,160,0.00225118
25.677,180,0.00214741
25.677,200,0.0020318
25.677,220,0.00191538
25.677,240,0.00180321
25.677,260,0.00169783
25.677,280,0.00160244
25.677,300,0.00151485
25.677,400,0.00118863
25.677,500,0.00098575
25.677,600,0.000848831
25.677,700,0.000751807
25.677,800,0.000678564
25.677,900,0.000618634
25.677,1000,0.000571653
25.677,1100,0.000531743
25.677,1200,0.000497116
25.677,1300,0.000467734
25.677,1400,0.000441071
25.677,1500,0.000418333
25.677,1600,0.000397523
25.677,1700,0.000378136
25.677,1800,0.000360635
25.677,1900,0.000344934
25.677,2000,0.000330574
25.677,2100,0.000316924
25.677,2200,0.000304737
25.677,2300,0.000292861
25.677,2400,0.000281362
25.677,2500,0.000271088
